file	class_or_func	name	python_type	none_meaning_vs_empty	go_representation
foundation/model/FilesystemMixin.py	FilesystemMixin	fs	Optional[FS] = None	None = no filesystem attached; every op raises InvocationError "if not self.fs" (FS objects always truthy)	vfs.FS interface; nil = unset -> ErrInvocation (§0.2 #9 vfs package)
foundation/model/FilesystemMixin.py	FilesystemMixin.fs_type	return	Optional[str]	None = no fs; "os"/"mem"/"tar" otherwise; Lab.has_host_path() compares == "os"	string; "" = no fs
foundation/model/FilesystemMixin.py	FilesystemMixin.fs_path	return	Optional[str]	None = no fs OR fs has no syspath (memory fs); used as cwd for terminals (Popen cwd=None = inherit - load-bearing!)	(string, bool); absent -> no cwd override
event/EventDispatcher.py	EventDispatcher.register	method	Optional[str] = None	Falsy: None/"" = use attr "run"	explicit interface method; REBUILT-adjacent (keep semantics)
event/EventDispatcher.py	EventDispatcher.register	unregister callback	Optional[Callable]	None = subscriber has no unregister hook (hasattr check)	optional interface assertion (type switch)
event/EventDispatcher.py	EventDispatcher	__instance	singleton None	None = not built	package-level or injected dispatcher; sync.Once if kept global
foundation/cli/CliArgs.py	CliArgs.__getattr__	missing arg	returns None	Any unset argparse arg reads as None (argparse default). Whole args dict is Dict[str, Optional[...]]	cobra: typed vars + flag.Changed; or options struct with pointer fields
foundation/cli/command/Command.py	Command._load_custom_configuration	custom conf	path existence check	Missing file = silently keep global settings	os.Stat error check
cli/command/* (all)	run	args['directory']	Optional[str]	None/"" = use current_path (truthy check + quote stripping)	string ""
cli/command/LstartCommand.py	LstartCommand.run	args['terminals']	Optional[bool] (argparse tri-state)	"is not None": None = keep Setting.open_terminals; explicit True/False override. Zero-value bool would erase the distinction	*bool flag
cli/command/VstartCommand.py	VstartCommand.run	args['terminals']	Optional[bool]	Same tri-state as lstart	*bool flag
cli/command/VstartCommand.py	VstartCommand.run	args['terminal_emu'] / args['shell']	Optional[str]	"or" fallback: None/"" = keep Setting value	string ""
cli/command/VstartCommand.py	VstartCommand.run	**args to get_or_new_machine	Dict with None values	Whole args dict forwarded; update_meta is-not-None gates decide application. vstart family REBUILT as sugar §3.4 but must produce identical goldens	options struct with pointer fields feeding one shared deploy path
cli/command/VstartCommand.py	VstartCommand.run	eths entries mac_address	Optional[str] from interface_cd_mac	None = no MAC given for --eth	string ""
cli/command/LcleanCommand.py	LcleanCommand.run	machine_names / excluded_machines	List -> Optional[Set]	"set(x) if x else None": empty/absent CLI list -> None (undeploy ALL) - deliberately normalizes empty to None before hitting the is-not-None manager path	nil set when flag absent/empty
cli/command/LrestartCommand.py	LrestartCommand.run	args passthrough	Optional flags	Truthy checks rebuild lclean/lstart argv	same as above
cli/command/ExecCommand.py	ExecCommand.run	stream chunks	(Optional[bytes], Optional[bytes])	None or b"" -> skip write (falsy); stderr also gated by --no-stderr	[]byte nil/len checks
cli/command/ExecCommand.py	ExecCommand.run	args['command']	List[str]	Single-element list unwrapped to str (shlex split later); >1 passed as list	[]string always; shlex at boundary
cli/command/ConnectCommand.py	ConnectCommand.run	args['shell']	Optional[str]	None = container default shell	string ""
cli/command/ListCommand.py	ListCommand._get_live_info	machine_name	Optional[str]	None = all devices	string ""
cli/command/LinfoCommand.py	LinfoCommand	whole command	-	DEFERRED §0.3 (linfo); "kathara list" covers inventory	n/a
cli/command/WipeCommand.py	WipeCommand.run	args['force']/args['all']/args['settings']	bool flags	Plain falsy; all requires admin	bool
cli/ui/utils.py	create_lab_table	return	Optional[RenderableType]	None = stats generator EXHAUSTED (stop live loop); empty dict result -> "No Devices Found" panel (NOT None) - two distinct empties	(view, ok bool); ok=false stops loop
cli/ui/utils.py	interface_cd_mac	return mac	Tuple[str, str, Optional[str]]	mac None when no "/part"; "n:cd/" (empty mac) is an argparse error, not None	(n, cd, mac string); "" = none
cli/ui/utils.py	open_machine_terminal	executable_path	Optional[str]	None = kathara not found -> FileNotFoundError. TERMINAL REBUILT §3.3	(string, error)
cli/ui/utils.py	open_machine_terminal	machine.lab.fs_path() as cwd	Optional[str]	None cwd -> Popen inherits cwd (vlab case). REBUILT §3.3 but keep behavior	empty string = inherit
cli/ui/setting/utils.py	current_bool/current_string/current_enabled/current_enum	text	Optional[str] = None	None = render bare "Current: X" without parenthesis wrapper. REBUILT §3.2	n/a (bubbletea rebuild)
cli/ui/setting/utils.py	read_and_validate_value_with_default	error_msg / default_value	str = None / Any = None	None = no error print / no default. REBUILT §3.2	n/a
cli/ui/setting/utils.py	update_value / update_value_with_default	callback	Optional[Callable]	None = store raw input string	n/a (rebuild)
cli/ui/event/HandleProgressBar.py	HandleProgressBar	progress_bar / task	Optional[Progress] / Optional[TaskID]	None = bar not active; update()/finish() no-op via truthy guard; reset to None on finish	nil pointer guard
cli/ui/event/HandleDockerImagePull.py	HandleDockerImagePull	progress_bar	Optional[Progress]	Same inactive-when-None pattern	nil pointer guard
foundation/cli/ui/setting/OptionsHandler.py	OptionsHandler	menu_factory	Optional[SettingsMenuFactory]	None = add() before set_menu_factory -> InvocationError. REBUILT §3.2	n/a
foundation/factory/Factory.py	Factory.get_class	reflection	ImportError -> ClassNotFoundError	Dynamic import replaces None-checks with exceptions. REPLACED by explicit registry §0.2 #7	registry map lookup: (impl, ok)
foundation/manager/terminal/core/ITerminalSession.py	ITerminalSession.fileno	return	Optional[int]	None = session has no OS fd (K8s websocket) -> TerminalRunner falls back to threaded pump; int = fd for add_reader	(fd int, ok bool) or fd=-1 sentinel; drives pump strategy selection
foundation/manager/terminal/core/ITerminalSession.py	ITerminalSession	_client	Optional[Any]	None for sessions not needing a client (K8s WS passes client=None)	per-implementation struct fields; no shared nullable
foundation/manager/terminal/core/TerminalRunner.py	TerminalRunner	_loop	Optional[AbstractEventLoop]	None = not started; close() early-returns "if self._closed or self._loop is None"	nil check / started bool
foundation/manager/terminal/core/TerminalRunner.py	TerminalRunner	_session_fd	Optional[int]	None = threaded stdout mode (no fd reader to remove)	fd int with -1 sentinel or ok bool
foundation/manager/terminal/core/TerminalRunner.py	TerminalRunner._on_stdin_bytes/_on_session_readable	data	bytes	Empty b"" = EOF/closed -> close(); None never passed	len(data)==0 / io.EOF
foundation/manager/terminal/console/UnixConsoleAdapter.py	UnixConsoleAdapter	_orig_term_attrs	Optional[list]	None = raw mode not entered; exit_raw restores only if non-None	*term.State; nil = not raw
foundation/manager/terminal/console/WindowsConsoleAdapter.py	WindowsConsoleAdapter	_term_handle / _orig_mode / _input_task / _resize_cb	Optional[int]/Optional[int]/Optional[Task]/Optional[Callable]	None = raw mode not entered / no input pump / no resize watcher; each cleanup guards on non-None	pointers / zero handle sentinels; ConPTY rebuild §3.3
manager/docker/terminal/session/DockerTTYTerminalSession.py	DockerTTYTerminalSession.fileno	return	Optional[int] (always int here)	Always returns real socket fd; Optional only for interface conformance	fd int, ok true
manager/docker/terminal/session/DockerNPipeTerminalSession.py	DockerNPipeTerminalSession	_pipe_handle	Optional[int]	Windows pipe handle; None never in practice after ctor	windows.Handle
manager/kubernetes/terminal/session/KubernetesWSTerminalSession.py	KubernetesWSTerminalSession.fileno	return	Optional[int]	Always None: WS session cannot be fd-polled -> threaded pump	ok=false
manager/kubernetes/terminal/session/KubernetesWSTerminalSession.py	KubernetesWSTerminalSession.read	data	Optional[str] local	None = neither stdout nor stderr had data -> return b""	nil check -> empty read
trdparty/depgen/depgen.py	_order / has_loop	val / seen	=None recursion sentinels	None = top-level entry (iterate all keys); non-None = recursive step. Also "deps is None or deps == []" conflation	split into exported entry func + recursive helper with explicit params
trdparty/strtobool/strtobool.py	strtobool	val	str	No None handling; invalid -> ValueError	(bool, error)
utils.py	class_for_name	dynamic import	raises, never None	REPLACED by registry §0.2 #7	registry
webhooks/GitHubApi.py	GitHubApi	whole file	-	DEFERRED §0.3 (version-check webhooks removed)	n/a
webhooks/DockerHubApi.py	DockerHubApi	whole file	-	DEFERRED §0.3	n/a
os/Networking.py	Networking	whole file	-	DEFERRED §0.3 (lab.ext stack)	n/a
auth/PrivilegeHandler.py	PrivilegeHandler	whole file	-	DEFERRED §0.3 (root escalation, lab.ext stack); decorators.privileged becomes no-op on non-Linux paths	n/a
trdparty/nsenter/nsenter.py	nsenter	whole file	-	DEFERRED §0.3	n/a
model/ExternalLink.py	ExternalLink	whole file	-	DEFERRED §0.3; Lab.attach_external_links -> FeatureNotAvailable	n/a
trdparty/consolemenu/*	consolemenu	whole package	-	REPLACED §0.2 #1/#2 (bubbletea rebuild); its internal Optionals not ported	n/a
trdparty/libtmux/tmux.py	TMUX	whole file	-	REPLACED §0.2 #2 (exec tmux binary)	n/a
